nconst	tconst
nm0286926	tt0071853
nm2744941	tt10962368
nm2744941	tt0489237
nm0999139	tt0116629
nm0999139	tt0462499
nm0999139	tt0814022
nm3043279	tt5776858
nm3043279	tt10954652
nm3043279	tt4005402
nm6324453	tt21103218
nm6324453	tt9770150
nm1395133	tt0884328
nm1395133	tt1059786
nm1395133	tt0988047
nm1395133	tt0337978
nm0550301	tt0089374
nm0550301	tt0119013
nm0550301	tt0068767
nm0550301	tt0085127
nm0253708	tt0422093
nm0253708	tt0251160
nm0253708	tt0368008
nm2534912	tt0963194
nm4289010	tt14914988
nm4289010	tt35146696
nm10766699	tt0351817
nm10366278	tt27196021
nm0136382	tt2179136
nm0136382	tt0986263
nm0136382	tt0119925
nm0136382	tt1838544
nm1759786	tt0827503
nm1759786	tt1558877
nm13686964	tt15838850
nm8108730	tt4978420
nm8108730	tt9376612
nm8108730	tt6343314
nm8108730	tt10323676
nm3072339	tt22898462
nm3072339	tt11827628
nm7142399	tt24225606
nm5050824	tt5805752
nm5050824	tt15574270
nm5050824	tt21823606
nm0016628	tt0071910
nm0075710	tt0293662
nm0075710	tt0372824
nm0075710	tt0388482
nm0075710	tt1129442
nm0730886	tt3315342
nm0730886	tt5774060
nm0730886	tt1448754
nm2050714	tt1650554
nm2834025	tt17009710
nm0919386	tt0114887
nm0515817	tt0295721
nm0515817	tt2935564
nm0787427	tt0802948
nm0602350	tt0118826
nm0602350	tt0433362
nm0602350	tt0231402
nm0602350	tt0238546
nm0427504	tt0102492
nm0427504	tt0110613
nm0427504	tt0338325
nm0699063	tt0059243
nm0699063	tt0057193
nm0396910	tt12193804
nm0653778	tt0060107
nm0653778	tt0056111
nm8821923	tt5168192
nm8821923	tt19883634
nm8821923	tt8359816
nm3215144	tt0489235
nm0375342	tt0065528
nm0163618	tt0109045
nm0163618	tt0087803
nm0163618	tt0221073
nm8997512	tt0260991
nm0690190	tt0127357
nm0424848	tt2322441
nm0424848	tt1285016
nm0424848	tt4465564
nm0424848	tt4477536
nm0861301	tt0337697
nm0861301	tt0236027
nm0861301	tt0457655
nm4824968	tt0120902
nm4824968	tt5213534
nm0144307	tt0402910
nm0144307	tt0114369
nm0144307	tt0208988
nm0107473	tt0076538
nm3334929	tt8991268
nm0540595	tt0084787
nm0540595	tt0119951
nm0540595	tt0180093
nm0540595	tt0162677
nm0665620	tt1017451
nm0665620	tt6412452
nm0665620	tt1228705
nm0665620	tt1013752
nm0187110	tt0083806
nm0128247	tt0125659
nm0128247	tt0287467
nm0128247	tt0117883
nm0128247	tt0275491
nm3881053	tt0892318
nm0456796	tt0210945
nm0456796	tt0337909
nm8971440	tt6108090
nm1055322	tt0379725
nm1055322	tt3612126
nm1055322	tt6097798
nm0012358	tt0083922
nm0732346	tt0166396
nm5651050	tt2213054
nm0269204	tt0157016
nm0735424	tt0090859
nm0735424	tt0109506
nm0735424	tt0266465
nm0735424	tt0100514
nm1976847	tt6378710
nm4376876	tt1714915
nm4376876	tt1054580
nm0456599	tt5727282
nm0872517	tt0346156
nm0872517	tt0159273
nm0872517	tt0093177
nm0872517	tt0116136
nm0766975	tt0049408
nm0766975	tt9620292
nm0036962	tt3045616
nm0801548	tt0317705
nm0801548	tt0093886
nm0526967	tt0429493
nm0001729	tt0105265
nm0001729	tt0100260
nm0001729	tt0106912
nm0001729	tt0094006
nm0710405	tt0822854
nm0710405	tt0758730
nm0710405	tt0118956
nm0824763	tt0120591
nm0824763	tt0402910
nm4488268	tt2631186
nm4488268	tt4849438
nm8139628	tt27028399
nm0642143	tt0079367
nm0642143	tt0072251
nm0642143	tt0071524
nm0263518	tt0104692
nm0263518	tt0114857
nm0263518	tt0095444
nm0552683	tt0046534
nm0552683	tt0043338
nm0552683	tt0049096
